type;number of algorithm;size;operations;
рандом от 0 до 4000_1;5;300;37797;
рандом от 0 до 4000_1;6;300;95669;
рандом от 0 до 4000_1;7;300;33520;
рандом от 0 до 4000_1;8;300;20195;
рандом от 0 до 4000_1;9;300;4928;
рандом от 0 до 4000_1;10;300;135807;
рандом от 0 до 4000_1;11;300;10032;
рандом от 0 до 4000_1;12;300;12215;
почти отсортирован_1;0;50;1855;
почти отсортирован_1;1;50;6125;
почти отсортирован_1;2;50;11125;
почти отсортирован_1;3;50;402;
почти отсортирован_1;4;50;1153;
почти отсортирован_1;5;50;5554;
почти отсортирован_1;6;50;294;
почти отсортирован_1;7;50;4279;
почти отсортирован_1;8;50;5440;
почти отсортирован_1;9;50;1774;
почти отсортирован_1;10;50;3776;
почти отсортирован_1;11;50;829;
почти отсортирован_1;12;50;1015;
почти отсортирован_1;0;100;4407;
почти отсортирован_1;1;100;24750;
почти отсортирован_1;2;100;44750;
почти отсортирован_1;3;100;802;
почти отсортирован_1;4;100;2303;
почти отсортирован_1;5;100;12942;
почти отсортирован_1;6;100;594;
почти отсортирован_1;7;100;9728;
почти отсортирован_1;8;100;20890;
почти отсортирован_1;9;100;2524;
почти отсортирован_1;10;100;15051;
почти отсортирован_1;11;100;2044;
почти отсортирован_1;12;100;2515;
почти отсортирован_1;0;150;7211;
почти отсортирован_1;1;150;55875;
почти отсортирован_1;2;150;100875;
почти отсортирован_1;3;150;1202;
почти отсортирован_1;4;150;3453;
почти отсортирован_1;5;150;21142;
почти отсортирован_1;6;150;894;
почти отсортирован_1;7;150;15593;
почти отсортирован_1;8;150;46340;
почти отсортирован_1;9;150;3274;
почти отсортирован_1;10;150;33826;
почти отсортирован_1;11;150;3384;
почти отсортирован_1;12;150;4520;
почти отсортирован_1;0;200;10211;
почти отсортирован_1;1;200;99500;
почти отсортирован_1;2;200;179500;
почти отсортирован_1;3;200;1602;
почти отсортирован_1;4;200;4603;
почти отсортирован_1;5;200;29708;
почти отсортирован_1;6;200;1194;
почти отсортирован_1;7;200;21776;
почти отсортирован_1;8;200;81790;
почти отсортирован_1;9;200;4024;
почти отсортирован_1;10;200;60101;
почти отсортирован_1;11;200;4884;
почти отсортирован_1;12;200;6015;
почти отсортирован_1;0;250;13371;
почти отсортирован_1;1;250;155625;
почти отсортирован_1;2;250;280463;
почти отсортирован_1;3;250;4086;
почти отсортирован_1;4;250;10841;
почти отсортирован_1;5;250;38305;
почти отсортирован_1;6;250;1654;
почти отсортирован_1;7;250;27889;
почти отсортирован_1;8;250;126235;
почти отсортирован_1;9;250;8484;
почти отсортирован_1;10;250;93940;
почти отсортирован_1;11;250;6512;
почти отсортирован_1;12;250;7626;
почти отсортирован_1;0;300;16929;
почти отсортирован_1;1;300;224250;
почти отсортирован_1;2;300;403838;
почти отсортирован_1;3;300;5036;
почти отсортирован_1;4;300;11791;
почти отсортирован_1;5;300;47727;
почти отсортирован_1;6;300;2204;
почти отсортирован_1;7;300;34566;
почти отсортирован_1;8;300;181485;
почти отсортирован_1;9;300;9684;
почти отсортирован_1;10;300;135315;
почти отсортирован_1;11;300;8212;
почти отсортирован_1;12;300;10766;
обратно отсортирован_1;0;50;7798;
обратно отсортирован_1;1;50;6125;
обратно отсортирован_1;2;50;198;
обратно отсортирован_1;3;50;13681;
обратно отсортирован_1;4;50;1153;
обратно отсортирован_1;5;50;4376;
обратно отсортирован_1;6;50;6419;
обратно отсортирован_1;7;50;3840;
обратно отсортирован_1;8;50;4190;
обратно отсортирован_1;9;50;3250;
обратно отсортирован_1;10;50;4426;
обратно отсортирован_1;11;50;1289;
обратно отсортирован_1;12;50;1330;
обратно отсортирован_1;0;100;28758;
обратно отсортирован_1;1;100;24750;
обратно отсортирован_1;2;100;398;
обратно отсортирован_1;3;100;54856;
обратно отсортирован_1;4;100;2303;
обратно отсортирован_1;5;100;10600;
обратно отсортирован_1;6;100;25344;
обратно отсортирован_1;7;100;8700;
обратно отсортирован_1;8;100;15890;
обратно отсортирован_1;9;100;4450;
обратно отсортирован_1;10;100;17601;
обратно отсортирован_1;11;100;3060;
обратно отсортирован_1;12;100;3295;
обратно отсортирован_1;0;150;62533;
обратно отсортирован_1;1;150;55875;
обратно отсортирован_1;2;150;598;
обратно отсортирован_1;3;150;123531;
обратно отсортирован_1;4;150;3453;
обратно отсортирован_1;5;150;17297;
обратно отсортирован_1;6;150;56769;
обратно отсортирован_1;7;150;13920;
обратно отсортирован_1;8;150;35090;
обратно отсортирован_1;9;150;5650;
обратно отсортирован_1;10;150;39526;
обратно отсортирован_1;11;150;5004;
обратно отсортирован_1;12;150;5795;
обратно отсортирован_1;0;200;108871;
обратно отсортирован_1;1;200;99500;
обратно отсортирован_1;2;200;798;
обратно отсортирован_1;3;200;219706;
обратно отсортирован_1;4;200;4603;
обратно отсортирован_1;5;200;24415;
обратно отсортирован_1;6;200;100694;
обратно отсортирован_1;7;200;19420;
обратно отсортирован_1;8;200;61790;
обратно отсортирован_1;9;200;6850;
обратно отсортирован_1;10;200;70201;
обратно отсортирован_1;11;200;6884;
обратно отсортирован_1;12;200;7875;
обратно отсортирован_1;0;250;167996;
обратно отсортирован_1;1;250;155625;
обратно отсортирован_1;2;250;998;
обратно отсортирован_1;3;250;343381;
обратно отсортирован_1;4;250;5753;
обратно отсортирован_1;5;250;32054;
обратно отсортирован_1;6;250;157119;
обратно отсортирован_1;7;250;24920;
обратно отсортирован_1;8;250;95990;
обратно отсортирован_1;9;250;8050;
обратно отсортирован_1;10;250;109626;
обратно отсортирован_1;11;250;9332;
обратно отсортирован_1;12;250;10305;
обратно отсортирован_1;0;300;239621;
обратно отсортирован_1;1;300;224250;
обратно отсортирован_1;2;300;1198;
обратно отсортирован_1;3;300;494556;
обратно отсортирован_1;4;300;6903;
обратно отсортирован_1;5;300;40033;
обратно отсортирован_1;6;300;226044;
обратно отсортирован_1;7;300;30860;
обратно отсортирован_1;8;300;137690;
обратно отсортирован_1;9;300;9250;
обратно отсортирован_1;10;300;157801;
обратно отсортирован_1;11;300;11188;
обратно отсортирован_1;12;300;13520;
рандом от 0 до 5_2;0;100;15088;
рандом от 0 до 5_2;1;100;24750;
рандом от 0 до 5_2;2;100;29287;
рандом от 0 до 5_2;3;100;44173;
рандом от 0 до 5_2;4;100;1927;
рандом от 0 до 5_2;5;100;10485;
рандом от 0 до 5_2;6;100;11479;
рандом от 0 до 5_2;7;100;9400;
рандом от 0 до 5_2;8;100;3771;
рандом от 0 до 5_2;9;100;2328;
рандом от 0 до 5_2;10;100;15262;
рандом от 0 до 5_2;11;100;2740;
рандом от 0 до 5_2;12;100;3085;
рандом от 0 до 5_2;0;200;56132;
рандом от 0 до 5_2;1;200;99500;
рандом от 0 до 5_2;2;200;117193;
рандом от 0 до 5_2;3;200;178006;
рандом от 0 до 5_2;4;200;3827;
рандом от 0 до 5_2;5;200;23096;
рандом от 0 до 5_2;6;200;45094;
рандом от 0 до 5_2;7;200;20998;
рандом от 0 до 5_2;8;200;10105;
рандом от 0 до 5_2;9;200;3628;
